states,prices
Louisiana,2.169
Mississippi,2.21
South Carolina,2.268
Oklahoma,2.273
Texas,2.273
Alabama,2.279
Arkansas,2.299
Missouri,2.304
Virginia,2.327
Kansas,2.347
Tennessee,2.351
Wisconsin,2.385
Florida,2.394
North Carolina,2.42
Georgia,2.434
Kentucky,2.45
New Hampshire,2.455
Delaware,2.466
South Dakota,2.473
New Mexico,2.493
Iowa,2.495
Indiana,2.498
Minnesota,2.501
Rhode Island,2.502
Maryland,2.511
North Dakota,2.514
Ohio,2.526
Nebraska,2.533
Michigan,2.542
Maine,2.55
Massachusetts,2.551
West Virginia,2.575
New Jersey,2.593
Vermont,2.64
Connecticut,2.652
Washington DC,2.657
Illinois,2.663
New York,2.681
Wyoming,2.685
Montana,2.704
Colorado,2.765
Pennsylvania,2.775
Utah,2.89
Arizona,2.937
Idaho,2.971
Alaska,3.14
Oregon,3.324
Nevada,3.362
Washington,3.43
Hawaii,3.608
California,4.054